sex,x,L,M,S
M,309,1,73.4757,0.03119
M,310,1,73.5176,0.03119
M,311,1,73.5594,0.03119
M,312,1,73.6012,0.03119
M,313,1,73.6429,0.0312
M,314,1,73.6845,0.0312
M,315,1,73.7261,0.0312
M,316,1,73.7677,0.0312
M,317,1,73.8091,0.0312
M,318,1,73.8506,0.03121
M,319,1,73.8919,0.03121
M,320,1,73.9333,0.03121
M,321,1,73.9745,0.03121
M,322,1,74.0157,0.03122
M,323,1,74.0569,0.03122
M,324,1,74.0979,0.03122
M,325,1,74.139,0.03122
M,326,1,74.18,0.03123
M,327,1,74.2209,0.03123
M,328,1,74.2618,0.03123
M,329,1,74.3026,0.03124
M,330,1,74.3433,0.03124
M,331,1,74.3841,0.03124
M,332,1,74.4247,0.03124
M,333,1,74.4653,0.03125
M,334,1,74.5059,0.03125
M,335,1,74.5464,0.03125
M,336,1,74.5868,0.03126
M,337,1,74.6272,0.03126
M,338,1,74.6676,0.03126
M,339,1,74.7079,0.03127
M,340,1,74.7481,0.03127
M,341,1,74.7883,0.03127
M,342,1,74.8285,0.03128
M,343,1,74.8686,0.03128
M,344,1,74.9086,0.03128
M,345,1,74.9486,0.03129
M,346,1,74.9886,0.03129
M,347,1,75.0285,0.0313
M,348,1,75.0683,0.0313
M,349,1,75.1081,0.0313
M,350,1,75.1479,0.03131
M,351,1,75.1876,0.03131
M,352,1,75.2273,0.03132
M,353,1,75.2669,0.03132
M,354,1,75.3065,0.03132
M,355,1,75.346,0.03133
M,356,1,75.3855,0.03133
M,357,1,75.425,0.03134
M,358,1,75.4644,0.03134
M,359,1,75.5037,0.03135
M,360,1,75.5431,0.03135
M,361,1,75.5824,0.03136
M,362,1,75.6216,0.03136
M,363,1,75.6608,0.03136
M,364,1,75.6999,0.03137
M,365,1,75.7391,0.03137
M,366,1,75.7781,0.03138
M,367,1,75.8172,0.03138
M,368,1,75.8562,0.03139
M,369,1,75.8951,0.03139
M,370,1,75.934,0.0314
M,371,1,75.9729,0.0314
M,372,1,76.0117,0.03141
M,373,1,76.0505,0.03141
M,374,1,76.0892,0.03142
M,375,1,76.1279,0.03142
M,376,1,76.1665,0.03143
M,377,1,76.2051,0.03143
M,378,1,76.2437,0.03144
M,379,1,76.2822,0.03144
M,380,1,76.3207,0.03145
M,381,1,76.3591,0.03146
M,382,1,76.3975,0.03146
M,383,1,76.4358,0.03147
M,384,1,76.4741,0.03147
M,385,1,76.5124,0.03148
M,386,1,76.5506,0.03148
M,387,1,76.5888,0.03149
M,388,1,76.6269,0.03149
M,389,1,76.665,0.0315
M,390,1,76.703,0.03151
M,391,1,76.741,0.03151
M,392,1,76.779,0.03152
M,393,1,76.8169,0.03152
M,394,1,76.8548,0.03153
M,395,1,76.8926,0.03154
M,396,1,76.9304,0.03154
M,397,1,76.9682,0.03155
M,398,1,77.0059,0.03155
M,399,1,77.0435,0.03156
M,400,1,77.0812,0.03157
M,401,1,77.1187,0.03157
M,402,1,77.1563,0.03158
M,403,1,77.1938,0.03159
M,404,1,77.2313,0.03159
M,405,1,77.2687,0.0316
M,406,1,77.306,0.0316
M,407,1,77.3434,0.03161
M,408,1,77.3807,0.03162
M,409,1,77.4179,0.03162
M,410,1,77.4551,0.03163
M,411,1,77.4923,0.03164
M,412,1,77.5295,0.03164
M,413,1,77.5665,0.03165
M,414,1,77.6036,0.03166
M,415,1,77.6406,0.03166
M,416,1,77.6776,0.03167
M,417,1,77.7145,0.03168
M,418,1,77.7514,0.03168
M,419,1,77.7883,0.03169
M,420,1,77.8251,0.0317
M,421,1,77.8618,0.0317
M,422,1,77.8986,0.03171
M,423,1,77.9353,0.03172
M,424,1,77.9719,0.03172
M,425,1,78.0085,0.03173
M,426,1,78.0451,0.03174
M,427,1,78.0817,0.03175
M,428,1,78.1182,0.03175
M,429,1,78.1546,0.03176
M,430,1,78.1911,0.03177
